"Fleet.Number","Registration","Details","Product","Distance","Unit","Litres","MPG","Cost"
"0012","FL65FBA","Vauxhall CORSA  CDTI Car","Diesel",5107,"Miles",465.53,49.87,744.848
"0013","MJ16XMY","Vauxhall Mokka 4x4 Utility Vehicle","Diesel",5585,"Miles",723.6,35.09,1157.76
"0016","BP16MKK","Nissan Note Car","Diesel",1511,"Miles",118.67,57.88,189.872
"0017","YD16NAL","Peugeot car Car","Diesel",2578,"Miles",211.85,55.32,338.96
"0018","YD16NAK","Peugeot 308 Car Car","Diesel",8032,"Miles",751.46,48.59,1202.336
"0020","YH17VCF","Peugeot Expert Combi 9 seat MPV","Diesel",11590,"Miles",1445.74,36.44,2313.184
"0023","YE19FLS","Volkswagon Caddy Maxi Welfare","Diesel",21758,"Miles",2425.71,40.78,3881.136
"0024","YG69UKP","  Caddy Maxi Life Wav","Diesel",27529,"Miles",2681.68,46.67,4290.688
"0025","YG69UKR","  Caddy Maxi Life Van","Diesel",8958,"Miles",988.33,41.2,1581.328
"0026","YH69ZYT","Volkswagen  Caddy Maxi Life Van","Diesel",16795,"Miles",1903.47,40.11,3045.552
"0027","YL69KJN","  VW Caddy","Diesel",21185,"Miles",2126.35,45.29,3402.16
"0028","YL69KJV","  VW Caddy","Diesel",9771,"Miles",1201.09,36.98,1921.744
"0029","YL69KJO","  VW Caddy","Diesel",7684,"Miles",1067.24,32.73,1707.584
"0030","YL69KJU","  VW Caddy","Diesel",6993,"Miles",976.06,32.57,1561.696
"0031","YG20GRF","Volkswagen Caddy 7 seater","Diesel",13577,"Miles",1629.45,37.88,2607.12
"0032","YG20AHU","Volkswagen Caddy 7 seater","Diesel",5369,"Miles",767.88,31.79,1228.608
"0033","YG20GRU","Volkswagen Caddy 7 seater","Diesel",10975,"Miles",1369.02,36.44,2190.432
"0034","YG20GRK","Volkswagen Caddy 7 seater","Diesel",7708,"Miles",973.4,36,1557.44
"0035","YG20YGZ","Volkswagen Maxi Life Caddy","Diesel",17267,"Miles",2266.66,34.63,3626.656
